GEO_ID,NAME,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,,total
0500000US51730,"Petersburg city, Virginia",1407,2326,7768,4680,1252,2531,1772,18003,4303,,21736
0500000US51735,"Poquoson city, Virginia",180,251,2191,1549,717,1929,1643,8029,3572,,8460
0500000US51740,"Portsmouth city, Virginia",2003,5470,19125,17413,5674,9067,4858,56137,13925,,63610
0500000US51750,"Radford city, Virginia",334,391,1951,1646,763,1495,1620,7475,3115,,8200
0500000US51760,"Richmond city, Virginia",8531,14523,34429,29041,8777,37147,25431,134825,62578,,157879
0500000US51770,"Roanoke city, Virginia",3362,6299,23853,13782,6278,10092,6295,60300,16387,,69961
0500000US51775,"Salem city, Virginia",583,1273,4953,3577,1947,2961,1814,15252,4775,,17108
0500000US51790,"Staunton city, Virginia",538,1272,5261,3438,1245,3114,2776,15834,5890,,17644
0500000US51800,"Suffolk city, Virginia",1959,4216,16545,14864,5415,10580,7393,54797,17973,,60972
0500000US51810,"Virginia Beach city, Virginia",6103,13729,64449,78779,33419,69469,41111,287227,110580,,307059
0500000US51820,"Waynesboro city, Virginia",708,1422,5125,2980,938,2414,1745,13202,4159,,15332
0500000US51830,"Williamsburg city, Virginia",82,310,1393,1071,361,2019,2203,7047,4222,,7439
0500000US51840,"Winchester city, Virginia",1474,1473,4561,3302,1223,3710,2793,15589,6503,,18536
